SKU_CODE,SKU_NAME
CC0062,QSR)코카콜라 1.25PET X12
CC0446,코카콜라 350CAN X24
CC0448,QSR)코카콜라 355CAN X24
CC1300,코카콜라 250CAN 5X6
CC1333,코카콜라 1.25PET X12
CC2420,코카콜라 190CAN X30
CC2424,코카콜라 190CAN 5X6
CC2515,QSR)코카콜라(생산용) 355CAN 4X6
CC2516,SSP)코카콜라(생산용) 355CAN 4X6
CC2526,SSP)코카콜라 355CAN X24
CC2531,코카콜라 350CAN 4X6
CC2565,QSR)코카콜라 500PET X24
CC4430,코크제로 500PET X24
CC4432,S)코크제로 500PET 4X6
CC4480,코크제로 식품점 1.5PET 6X2
CC4705,QSR)코카콜라 245CAN X24
CC4835,코카콜라 250CAN X30
CC4843,코카콜라 하이퍼 245CAN X24
CC5756,코크제로 215CAN 5X6
CC5757,코카콜라 215CAN 5X6
CC5761,코카콜라 215CAN X30
CC6309,코카콜라 1.5PET X12
CC6670,코카콜라 500PET X24
CC6676,S)코카콜라 500PET 4X6
CC7532,코크제로 1.5PET X12
CC7540,코크제로 355CAN X24
CC7923,S)코카콜라 1.5PET 2X6
CC8272,코크제로 250CAN X30
CC8273,코크제로 250CAN 5X6
CC8428,코크제로 1.5PET 6X2
CC8429,코크제로 1.5PET 2X6
FT4551,환타 포도 1.5PET X12
FT4823,환타 오렌지 250CAN 5X6
FT4908,환타 포도 250CAN X30
FT4943,환타 오렌지 250CAN X30
FT4945,환타 오렌지 355CAN X24
FT4947,S)환타 오렌지 355CAN 4X6
FT4950,환타 파인 355CAN X24
FT5309,환타 파인 250CAN X30
FT5312,환타 파인 250CAN 5X6
FT5734,환타 오렌지 600PET X24
FT5748,S)환타 오렌지 600PET 4X6
FT5749,S)환타 파인 600PET 4X6
FT5758,환타 오렌지 215CAN 5X6
FT6335,환타 파인 1.5PET X12
FT6344,환타 오렌지 1.5PET X12
FT6349,S)환타 오렌지 1.5PET 2X6
FT6381,환타 포도 355CAN X24
FT8207,환타 파인 600PET X24
SP5759,스프라이트 215CAN 5X6
SP6110,스프라이트 250CAN X30
SP6111,스프라이트 250CAN 5X6
SP6113,스프라이트 355CAN X24
SP6114,스프라이트 355CAN 4X6
SP6115,QSR)스프라이트 355CAN X24
SP6116,스프라이트 500PET X24
SP6117,S)스프라이트 500PET 4X6
SP6118,QSR)스프라이트 500PET X24
SP6119,스프라이트 1.5PET X12
SP6120,S)스프라이트 1.5PET 2X6
SP6121,QSR)스프라이트 1.5PET X12
