SKU_CODE,CATEGORY
AB4218,탄산
AB4219,탄산
AB4224,탄산
AB4225,탄산
AB4226,탄산
AB4492,탄산
AB4549,탄산
AB4833,탄산
AB4834,탄산
AB4845,탄산
AB4859,탄산
AB5752,탄산
AB5973,탄산
AD4340,비탄산
AD4341,비탄산
AD4342,비탄산
AD4343,비탄산
AD4344,비탄산
AD4345,비탄산
AD4346,비탄산
AD4347,비탄산
AD4348,비탄산
AQ5970,비탄산
AQ7997,비탄산
AQ8550,비탄산
AQ8551,비탄산
AQ8552,비탄산
AQ8553,비탄산
AQ8554,비탄산
AQ8555,비탄산
AQ8560,비탄산
BA0001,기능성
BA0002,기능성
BA0003,기능성
BA0004,기능성
BA0005,기능성
BA0006,기능성
BA0007,기능성
BA0008,기능성
BA0009,기능성
BA0010,기능성
BA0011,기능성
BA0012,기능성
BA0013,기능성
BA0014,기능성
BA0015,기능성
BA0016,기능성
BA0017,기능성
BA0019,기능성
BA0027,기능성
BA0028,기능성
BA0029,기능성
BA0030,기능성
BA0031,기능성
BA0032,기능성
BA0033,기능성
BA0034,기능성
BA0035,기능성
BA0036,기능성
BA0037,기능성
BB0001,비탄산
BB0002,비탄산
BB0003,비탄산
BB0004,비탄산
BB0005,비탄산
BB0006,비탄산
BB0007,비탄산
BB0008,비탄산
BB0009,비탄산
BB0010,비탄산
BB0011,비탄산
BB0012,비탄산
BB0013,비탄산
BB0014,비탄산
BB0015,비탄산
BB0017,비탄산
BB0021,비탄산
BB0022,비탄산
BB0023,비탄산
BB0024,비탄산
BB0025,비탄산
BB0026,비탄산
BB0027,비탄산
BB1307,비탄산
BB1308,비탄산
BB1311,비탄산
BB1312,비탄산
BB1313,비탄산
BB1314,비탄산
BB1315,비탄산
BB1316,비탄산
BB1317,비탄산
BB1318,비탄산
BB4139,비탄산
BB4259,비탄산
BB4268,비탄산
BB4276,비탄산
BB4277,비탄산
BB4286,비탄산
BB4292,비탄산
BB7542,비탄산
BB7714,비탄산
BB7715,비탄산
BB7716,비탄산
BB7717,비탄산
BB7718,비탄산
BB7719,비탄산
BB7720,비탄산
BB7829,비탄산
BB7855,비탄산
BB7978,비탄산
BB7994,비탄산
BB8030,비탄산
BB8087,비탄산
BB8089,비탄산
BB8274,비탄산
BB8283,비탄산
BB8427,비탄산
BB8473,비탄산
BB8497,비탄산
BB8509,비탄산
BB8512,비탄산
BB8513,비탄산
BB8514,비탄산
BB8519,비탄산
BB8521,비탄산
BB8553,비탄산
BI5600,탄산
BI5601,탄산
BI5603,탄산
BI5604,탄산
BI5605,탄산
BI5606,탄산
BI5607,탄산
BI5608,탄산
BI5610,탄산
BI5963,탄산
BP5662,Water
BP5663,Water
BP5664,Water
BP5666,Water
BP5688,Water
BP5690,Water
BP5691,Water
BP5692,Water
BP5693,Water
BP5694,Water
BQ1524,탄산
BQ1525,탄산
BQ1526,탄산
BS5607,Water
BS5612,Water
BS5613,Water
BS5614,Water
BS5645,Water
BS5646,Water
BS9158,Water
CA1192,탄산
CA1193,탄산
CA1194,탄산
CA1195,탄산
CA1200,탄산
CA1201,탄산
CA1202,탄산
CA1203,탄산
CA1204,탄산
CA1205,탄산
CA1206,탄산
CA1210,탄산
CA1211,탄산
CB8539,비탄산
CB8549,비탄산
CC0001,탄산
CC0062,탄산
CC0360,탄산
CC0446,탄산
CC0447,탄산
CC0448,탄산
CC0449,탄산
CC0451,탄산
CC0453,탄산
CC1300,탄산
CC1302,탄산
CC1305,탄산
CC1333,탄산
CC1336,탄산
CC1337,탄산
CC1338,탄산
CC1511,탄산
CC1512,탄산
CC1513,탄산
